branch,category,seatpool,oprank,closerank
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,119P,119P
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,736,770
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,2078,2930
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,1238,1527
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,403,486
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,11238,13803
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,1694,1694
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,4337,6029
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,2540,2540
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,1246,1931
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,99,99
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,136,137
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,468,766
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,34,34
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,98,367
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,175,272
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,2951,4068
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,393,393
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,1505,1763
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,859,859
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,459,459
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,2276,4334
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,50P,50P
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,400,429
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,1501,1724
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,50P,50P
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,694,1133
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,412,478
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,6517,7542
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,793,793
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,3250,3753
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,1176,1630
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",General,Gender-Neutral,1991,3456
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",General PwD,Gender-Neutral,64P,64P
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",EWS,Gender-Neutral,279,322
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Gender-Neutral,776,1228
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",SC,Gender-Neutral,597,829
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",ST,Gender-Neutral,362,503
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",General,Female-Only,5311,5690
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Female-Only,1766,2138
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",SC,Female-Only,1127,1127
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",ST,Female-Only,622,622
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,4003,5499
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,518,570
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,1446,2157
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,129,1155
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,480,522
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,9671,12065
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,5208,5425
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,2053,2233
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,197P,197P
