branch,category,seatpool,oprank,closerank
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,1071,2025
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,54,54
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,175,180
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,349,1307
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,29,29
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,26,543
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",SC PwD,Gender-Neutral,3P,3P
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,152,285
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,2634,4550
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,2195,2462
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,527,582
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,567,567
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,440,1679
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,123,123
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,146,165
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",EWS PwD,Gender-Neutral,7P,7P
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,565,1000
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,42,42
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,168,587
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,271,418
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,2421,3815
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,705,705
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,1312,2363
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,682,1266
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,842,1050
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,747,2782
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,61,61
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,220,236
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",EWS PwD,Gender-Neutral,15P,15P
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,663,1194
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,35,35
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,30,577
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",SC PwD,Gender-Neutral,5,5
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,76,132
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",ST PwD,Gender-Neutral,3,3
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,1871,5089
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,794,794
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,2357,2858
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,399,799
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,276,355
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,1,63
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,1,1
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,3,6
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",EWS PwD,Gender-Neutral,1,1
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,7,35
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,1,1
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,3,20
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC PwD,Gender-Neutral,1P,1P
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,1,15
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,10,313
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,26,26
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,59,122
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,60,105
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC PwD,Female-Only,3,3
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,60,77
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,71,292
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,10,10
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,21,24
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,60,174
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,10,10
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,27,100
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",SC PwD,Gender-Neutral,4,4
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,25,58
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,697,1058
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,643,756
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,66,219
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,101,101
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,347,1202
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,76,76
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,511,1173
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,172,647
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,371,469
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",General,Female-Only,1087,2689
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,2851,2924
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,309,309
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,150P,150P
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,196,998
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,30,30
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,52,73
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",EWS PwD,Gender-Neutral,4P,4P
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,234,471
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,14,27
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,82,247
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",SC PwD,Gender-Neutral,2,2
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,65,116
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,1880,3511
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,529,529
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,1273,2219
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,431,945
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,310,432
"Metallurgical Engineering and Materials Science(4 year, Bachelor of Technology,
Engineering)",General,Gender-Neutral,2138,3271
"Metallurgical Engineering and Materials Science(4 year, Bachelor of Technology,
Engineering)",General PwD,Gender-Neutral,94,94
"Metallurgical Engineering and Materials Science(4 year, Bachelor of Technology,
Engineering)",EWS,Gender-Neutral,267,363
"Metallurgical Engineering and Materials Science(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Gender-Neutral,1236,1827
"Metallurgical Engineering and Materials Science(4 year, Bachelor of Technology,
Engineering)",SC,Gender-Neutral,678,989
"Metallurgical Engineering and Materials Science(4 year, Bachelor of Technology,
Engineering)",ST,Gender-Neutral,442,555
"Metallurgical Engineering and Materials Science(4 year, Bachelor of Technology,
Engineering)",General,Female-Only,4814,6574
"Metallurgical Engineering and Materials Science(4 year, Bachelor of Technology,
Engineering)",EWS,Female-Only,868,868
"Metallurgical Engineering and Materials Science(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Female-Only,3187,3812
"Metallurgical Engineering and Materials Science(4 year, Bachelor of Technology,
Engineering)",SC,Female-Only,1466,2275
"Metallurgical Engineering and Materials Science(4 year, Bachelor of Technology,
Engineering)",ST,Female-Only,1109,1160
"Chemistry(4 year, Bachelor of Science, Science)",General,Gender-Neutral,1486,5413
"Chemistry(4 year, Bachelor of Science, Science)",EWS,Gender-Neutral,511,511
"Chemistry(4 year, Bachelor of Science, Science)",OBC-NCL,Gender-Neutral,1965,2890
"Chemistry(4 year, Bachelor of Science, Science)",SC,Gender-Neutral,1255,1856
"Chemistry(4 year, Bachelor of Science, Science)",ST,Gender-Neutral,568,650
"Chemistry(4 year, Bachelor of Science, Science)",General,Female-Only,8846,9329
"Chemistry(4 year, Bachelor of Science, Science)",OBC-NCL,Female-Only,5583,6048
"Chemistry(4 year, Bachelor of Science, Science)",SC,Female-Only,2578,2578
"Chemistry(4 year, Bachelor of Science, Science)",ST,Female-Only,159P,159P
"Economics(4 year, Bachelor of Science, Science)",General,Gender-Neutral,1312,1885
"Economics(4 year, Bachelor of Science, Science)",EWS,Gender-Neutral,192,192
"Economics(4 year, Bachelor of Science, Science)",OBC-NCL,Gender-Neutral,735,1123
"Economics(4 year, Bachelor of Science, Science)",SC,Gender-Neutral,899,942
"Economics(4 year, Bachelor of Science, Science)",ST,Gender-Neutral,551,573
"Economics(4 year, Bachelor of Science, Science)",General,Female-Only,1276,4239
"Economics(4 year, Bachelor of Science, Science)",OBC-NCL,Female-Only,2160,2772
"Economics(4 year, Bachelor of Science, Science)",SC,Female-Only,922,922
"BS in Mathematics(4 year, Bachelor of Science, Science)",General,Gender-Neutral,98,1041
"BS in Mathematics(4 year, Bachelor of Science, Science)",OBC-NCL,Gender-Neutral,1177,1419
"BS in Mathematics(4 year, Bachelor of Science, Science)",SC,Gender-Neutral,663,663
"BS in Mathematics(4 year, Bachelor of Science, Science)",ST,Gender-Neutral,320,320
