branch,category,seatpool,oprank,closerank
"Biotechnology and Biochemical Engineering(4 year, Bachelor of Technology,
Engineering)",General,Gender-Neutral,2411,4142
"Biotechnology and Biochemical Engineering(4 year, Bachelor of Technology,
Engineering)",General PwD,Gender-Neutral,100P,100P
"Biotechnology and Biochemical Engineering(4 year, Bachelor of Technology,
Engineering)",EWS,Gender-Neutral,438,473
"Biotechnology and Biochemical Engineering(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Gender-Neutral,1793,2664
"Biotechnology and Biochemical Engineering(4 year, Bachelor of Technology,
Engineering)",SC,Gender-Neutral,651,1680
"Biotechnology and Biochemical Engineering(4 year, Bachelor of Technology,
Engineering)",ST,Gender-Neutral,663,741
"Biotechnology and Biochemical Engineering(4 year, Bachelor of Technology,
Engineering)",General,Female-Only,2512,6971
"Biotechnology and Biochemical Engineering(4 year, Bachelor of Technology,
Engineering)",EWS,Female-Only,1081,1081
"Biotechnology and Biochemical Engineering(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Female-Only,4938,5497
"Biotechnology and Biochemical Engineering(4 year, Bachelor of Technology,
Engineering)",SC,Female-Only,2359,2364
"Biotechnology and Biochemical Engineering(4 year, Bachelor of Technology,
Engineering)",ST,Female-Only,1121,1121
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,1243,1875
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,134,134
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,143,219
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,631,1142
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,303,727
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,102,333
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,2377,3777
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Female-Only,235P,235P
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,901,901
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,2424,2587
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,602,1025
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,219,219
