branch,category,seatpool,oprank,closerank
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,1057P,3333
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,1854,127
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,127,310
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,302,1717
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,1049,20P
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,20P,866
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,227,600
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,398,7110
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,6437,3808
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,1871,967
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,967,598
"Biological Sciences and Bioengineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,598,5391
"Biological Sciences and Bioengineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,4785,563
"Biological Sciences and Bioengineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,560,3277
"Biological Sciences and Bioengineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,2789,2091
"Biological Sciences and Bioengineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,1607,977
"Biological Sciences and Bioengineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,939,10569
"Biological Sciences and Bioengineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,7233,5690
"Biological Sciences and Bioengineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,4431,2874
"Biological Sciences and Bioengineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,2874,670P
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,670P,3049
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,2064,69P
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,62P,313
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,252,1535
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,1244,1022
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,629,545
