branch,category,seatpool,oprank,closerank
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,2418,3609
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,131,131
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,317,317
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,1328,1651
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,29P,29P
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,573,791
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,383,590
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,5752,7466
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,3360,3670
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,1387,1387
"Agricultural and Food Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,4616,6769
"Agricultural and Food Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,5P,5P
"Agricultural and Food Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,632,632
"Agricultural and Food Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,2683,3233
"Agricultural and Food Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,966,1892
"Agricultural and Food Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,608,928
"Agricultural and Food Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,9222,11534
"Agricultural and Food Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,6080,6616
"Agricultural and Food Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,2549,2549
"Agricultural and Food Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,671P,671P
"Biotechnology and Biochemical Engineering(4 year, Bachelor of Technology,
Engineering)",General,Gender-Neutral,4390,5677
"Biotechnology and Biochemical Engineering(4 year, Bachelor of Technology,
Engineering)",General PwD,Gender-Neutral,154,154
"Biotechnology and Biochemical Engineering(4 year, Bachelor of Technology,
Engineering)",EWS,Gender-Neutral,580,580
"Biotechnology and Biochemical Engineering(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Gender-Neutral,2169,3026
"Biotechnology and Biochemical Engineering(4 year, Bachelor of Technology,
Engineering)",SC,Gender-Neutral,1510,1720
"Biotechnology and Biochemical Engineering(4 year, Bachelor of Technology,
Engineering)",ST,Gender-Neutral,595,871
"Biotechnology and Biochemical Engineering(4 year, Bachelor of Technology,
Engineering)",General,Female-Only,8595,9424
"Biotechnology and Biochemical Engineering(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Female-Only,4124,4124
"Biotechnology and Biochemical Engineering(4 year, Bachelor of Technology,
Engineering)",SC,Female-Only,1828,1828
"Biotechnology and Biochemical Engineering(4 year, Bachelor of Technology,
Engineering)",ST,Female-Only,516P,516P
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,2099,3344
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,182P,182P
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,301,314
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,1151,1666
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,591,1015
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,373,571
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,4434,6812
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,960,960
