branch,category,seatpool,oprank,closerank
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,1971,3146
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,88,149
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,271,335
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,937,1471
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,588,753
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,332,473
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,4805,6314
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,2874,3356
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,735,735
"Aerospace Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,900,900
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,1831,3037
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,126P,126P
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,242,290
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,1099,1552
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,45P,45P
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,481,1013
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,55,583
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,4562,5674
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,890,890
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,2007,2938
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,1177,1324
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,1107,1107
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,2220,4346
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,111,111
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,384,396
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,869,1600
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,36P,36P
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,509,868
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,136,222
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",ST PwD,Gender-Neutral,4,4
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,5710,7616
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,920,920
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,1790,3041
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,944,1128
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,491,491
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,90,188
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,16,17
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,37,79
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,8,48
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC PwD,Gender-Neutral,4P,4P
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,16,28
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,349,690
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,57,57
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,156,231
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,128,151
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,113,113
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,182,717
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,27,58
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,46,59
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",EWS PwD,Gender-Neutral,6,6
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,88,327
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,23,44
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,51,244
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,48,117
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,805,2074
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,198,198
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,619,987
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Female-Only,25,25
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,226,295
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,160,216
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,1430,2458
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,199P,199P
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,177,177
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,484,1304
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,397,1021
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,500,700
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",General,Female-Only,3181,5839
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,2348,2694
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,2224,2224
"Engineering Physics(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,220P,220P
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,722,1891
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,82,147
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,122,159
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,370,836
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,7P,61P
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,59,519
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,127,221
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,2721,4635
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,496,496
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,1064,2275
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,419,1122
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,737,1012
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,3407,4720
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,443,461
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,1560,2119
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,1131,1454
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,621,632
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,6166,7956
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,3897,4569
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,1511,1924
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,1192,1192
"Naval Architecture and Ocean Engineering(4 year, Bachelor of Technology,
Engineering)",General,Gender-Neutral,4463,5892
"Naval Architecture and Ocean Engineering(4 year, Bachelor of Technology,
Engineering)",General PwD,Gender-Neutral,253P,253P
"Naval Architecture and Ocean Engineering(4 year, Bachelor of Technology,
Engineering)",EWS,Gender-Neutral,588,616.1
"Naval Architecture and Ocean Engineering(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Gender-Neutral,1843,2381
"Naval Architecture and Ocean Engineering(4 year, Bachelor of Technology,
Engineering)",SC,Gender-Neutral,1052,1712
"Naval Architecture and Ocean Engineering(4 year, Bachelor of Technology,
Engineering)",ST,Gender-Neutral,759,840
"Naval Architecture and Ocean Engineering(4 year, Bachelor of Technology,
Engineering)",General,Female-Only,9833,12855
"Naval Architecture and Ocean Engineering(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Female-Only,3895,5324
"Naval Architecture and Ocean Engineering(4 year, Bachelor of Technology,
Engineering)",SC,Female-Only,2704,2704
"Aerospace Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",General,Gender-Neutral,2558,3343
"Aerospace Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",OBC-NCL,Gender-Neutral,1322,1442
"Aerospace Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",SC,Gender-Neutral,520,884
"Aerospace Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",General,Female-Only,7882,7882
"Aerospace Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",OBC-NCL,Female-Only,3589,3589
"Biological Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",General,Gender-Neutral,1335,6424
"Biological Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",EWS,Gender-Neutral,663.1,663.1
"Biological Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",OBC-NCL,Gender-Neutral,1845,3220
"Biological Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",SC,Gender-Neutral,1472,2111
"Biological Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",ST,Gender-Neutral,1053,1103
"Biological Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",General,Female-Only,6622,8367
"Biological Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",EWS,Female-Only,1111,1111
"Biological Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",OBC-NCL,Female-Only,3067,4232
"Biological Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",SC,Female-Only,1497,1497
"Biological Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",ST,Female-Only,722P,722P
"Engineering Design(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",General,Gender-Neutral,2080,3453
"Engineering Design(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",General PwD,Gender-Neutral,28,28
"Engineering Design(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",EWS,Gender-Neutral,398,441
"Engineering Design(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",OBC-NCL,Gender-Neutral,587,1496
"Engineering Design(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",SC,Gender-Neutral,794,1513
"Engineering Design(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",ST,Gender-Neutral,425,724
"Engineering Design(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",General,Female-Only,2247,7509
"Engineering Design(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",EWS,Female-Only,1848,1848
"Engineering Design(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",OBC-NCL,Female-Only,3516,4238
"Engineering Design(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",SC,Female-Only,2325,2325
"Engineering Design(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",ST,Female-Only,379P,379P
"Biological Sciences(5 year, Bachelor of Science and Master of Science (Dual Degree),
Science)",General,Gender-Neutral,4487,8276
"Biological Sciences(5 year, Bachelor of Science and Master of Science (Dual Degree),
Science)",EWS,Gender-Neutral,863,863
"Biological Sciences(5 year, Bachelor of Science and Master of Science (Dual Degree),
Science)",OBC-NCL,Gender-Neutral,3332,3704
"Biological Sciences(5 year, Bachelor of Science and Master of Science (Dual Degree),
Science)",SC,Gender-Neutral,1881,2158
"Biological Sciences(5 year, Bachelor of Science and Master of Science (Dual Degree),
Science)",ST,Gender-Neutral,1057,1148
"Biological Sciences(5 year, Bachelor of Science and Master of Science (Dual Degree),
Science)",General,Female-Only,9127,13695
"Biological Sciences(5 year, Bachelor of Science and Master of Science (Dual Degree),
Science)",EWS,Female-Only,2055,2055
"Biological Sciences(5 year, Bachelor of Science and Master of Science (Dual Degree),
Science)",OBC-NCL,Female-Only,6070,6703
"Biological Sciences(5 year, Bachelor of Science and Master of Science (Dual Degree),
Science)",SC,Female-Only,2731,2731
