branch,category,seatpool,oprank,closerank
"Bio Technology(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,5881,6552
"Bio Technology(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,611,611
"Bio Technology(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,2771,3244
"Bio Technology(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,1716,1964
"Bio Technology(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,772,872
"Bio Technology(4 year, Bachelor of Technology, Engineering)",General,Female-Only,7988,8734
"Bio Technology(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,1779,1779
"Bio Technology(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,5688,5688
"Bio Technology(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,2785,2785
"Bio Technology(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,721,721
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,3224,3951
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,185,216
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,336,355
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,1520,1892
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,696,1113
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,633,705
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,6352,7707
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,1186,1186
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,3819,4193
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,1378,1566
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,1183,1183
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,3429,4681
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,85,151
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,401,440
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",EWS PwD,Gender-Neutral,18,18
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,1367,1945
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,78,78
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,382,993
