branch,category,seatpool,oprank,closerank
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,10381,18209
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,1062,1062
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,2356,2875
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,4743,7011
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,2390,3485
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",SC PwD,Gender-Neutral,163,163
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,1615,2269
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,19169,26978
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,4068,4068
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,6479,10771
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,4709,4709
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,10403,19999
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,2635,2930
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,4528,6113
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,1317,2879
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,1234,1947
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",SC PwD,Gender-Neutral,119,119
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",ST PwD,Gender-Neutral,29,29
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,21018,27327
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,5749,5749
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,9548,9665
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,2193,2193
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,1837,1837
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Female-Only,890,890
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,1887,4988
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,709,944
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,906,2282
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,195,686
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,804,851
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,26,26
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",EWS PwD,Gender-Neutral,35,35
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,132,132
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,1680,8390
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,3348,3348
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,4142,5288
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,901,901
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,1724,1724
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Female-Only,192,192
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",General,Gender-Neutral,5340,7506
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",EWS,Gender-Neutral,973,1293
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Gender-Neutral,2403,3073
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",SC,Gender-Neutral,1219,1690
