branch,category,seatpool,oprank,closerank
"Bio Technology(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,30530,40217
"Bio Technology(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,611,611
"Bio Technology(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,5458,5458
"Bio Technology(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,13634,16807
"Bio Technology(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,3624,6420
"Bio Technology(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,1926,1926
"Bio Technology(4 year, Bachelor of Technology, Engineering)",General,Female-Only,38824,38824
"Bio Technology(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,17978,17978
"Bio Technology(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,7916,7916
"Ceramic Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,32855,36560
"Ceramic Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,4936,4936
"Ceramic Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,11757,17741
"Ceramic Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,5868,6740
"Ceramic Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,4076,4076
"Ceramic Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,1561,1561
"Ceramic Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,40936,44408
"Ceramic Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,22370,22370
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,21741,25045
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,3198,3198
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,6705,10941
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,4606,5538
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,1830,1848
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,700,700
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,23745,25301
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,19943,20242
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,6219,6219
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,12873,24514
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,3089,3089
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,9539,10468
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,2154,4577
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,1541,1877
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,760,760
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",EWS PwD,Gender-Neutral,64,64
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,277,277
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,16563,28716
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,17167,17167
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,4443,4443
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,2117,2117
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,2253,9420
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,1356,1551
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,1960,4288
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,454,2242
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,522,721
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,331,331
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,141,141
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC PwD,Gender-Neutral,116,116
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,6375,10528
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,3991,9199
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,3057,3057
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,173,173
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Female-Only,283,283
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,4084,19168
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,2433,2646
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,4540,9452
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,2545,3415
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,790,1501
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,462,462
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,167,167
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,13724,15790
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,12847,13996
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,3315,3315
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,1452,1452
