branch,category,seatpool,oprank,closerank
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,20523,33925
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,818,818
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,4340,4368
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,8711,10755
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,844,844
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,5094,5870
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,2180,2332
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,36602,40523
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,5352,5352
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,14491,14796
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,7008,8012
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,3734,3734
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,27748,33392
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,1530,1690
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,4271,4375
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,9374,10303
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,731,731
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,4834,5606
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,1320,2024
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,32728,40731
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,5384,5394
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,15172,16479
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,7228,7228
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,2098,2098
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,4780,17318
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,752,752
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,2384,2514
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,5012,6440
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,1529,2679
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,934,934
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,24374,25832
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,3652,3652
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,11267,12631
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,5427,5427
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,19431,28598
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,1498,1498
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,3615,3670
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,7816,9130
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,709,709
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,4069,4855
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,1247,2161
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,32687,35134
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,4692,4692
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,12781,13040
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,7197,7197
"Electrical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,2782,2782
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",General,Gender-Neutral,16876,26813
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",General PwD,Gender-Neutral,1235,1235
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",EWS,Gender-Neutral,3407,3423
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Gender-Neutral,6581,7887
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",OBC-NCL(PwD),Gender-Neutral,653,653
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",SC,Gender-Neutral,3504,4548
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",ST,Gender-Neutral,1632,2033
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",General,Female-Only,31503,33513
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",EWS,Female-Only,4396,4396
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Female-Only,12735,13978
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",SC,Female-Only,5115,5115
"Electronics and Communication Engineering(4 year, Bachelor of Technology,
Engineering)",ST,Female-Only,3254,3254
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,21498,30205
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,1116,1116
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,3914,3914
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,7766,9331
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,737,737
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,4950,5635
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,2058,2205
