branch,category,seatpool,oprank,closerank
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,2330,8470
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,296,296
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,1270,1296
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,1980,3724
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,736,1751
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,570,684
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,11095,12167
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,1595,1595
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,3530,3530
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Female-Only,902,902
"Chemical Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,2306,2306
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,6346,10357
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,86,86
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,1176,1379
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",EWS PwD,Gender-Neutral,14,14
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,2294,3136
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,914,1455
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,255,374
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,15424,16569
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,2344,2344
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,6136,6922
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,1893,1893
"Civil Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,563,563
"Computer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,280,876
