branch,category,seatpool,oprank,closerank
"1 National Institute of Technology, Warangal",General,Gender-Neutral,21128,23952
"1 National Institute of Technology, Warangal",OBC-NCL,Gender-Neutral,8117,8434
"1 National Institute of Technology, Warangal",SC,Gender-Neutral,4365,4365
"1 National Institute of Technology, Warangal",EWS,Female-Only,3949,3949
"1 National Institute of Technology, Warangal",General,Gender-Neutral,13523,14275
"1 National Institute of Technology, Warangal",OBC-NCL,Gender-Neutral,4916,4942
"1 National Institute of Technology, Warangal",SC,Gender-Neutral,2983,2983
"1 National Institute of Technology, Warangal",ST,Gender-Neutral,1337,1337
"1 National Institute of Technology, Warangal",General PwD,Gender-Neutral,599,599
"1 National Institute of Technology, Warangal",General,Female-Only,18004,18004
"1 National Institute of Technology, Warangal",SC,Female-Only,3177,3177
"1 National Institute of Technology, Warangal",General,Gender-Neutral,12852,13083
"1 National Institute of Technology, Warangal",OBC-NCL,Gender-Neutral,4054,4136
"1 National Institute of Technology, Warangal",SC,Gender-Neutral,2250,2250
"1 National Institute of Technology, Warangal",ST,Gender-Neutral,632,632
"1 National Institute of Technology, Warangal",EWS,Female-Only,2865,2865
"1 National Institute of Technology, Warangal",ST,Female-Only,1121,1121
"1 National Institute of Technology, Warangal",General,Gender-Neutral,1674,1940
"1 National Institute of Technology, Warangal",OBC-NCL,Gender-Neutral,660,660
"1 National Institute of Technology, Warangal",SC,Gender-Neutral,281,316
"1 National Institute of Technology, Warangal",ST,Gender-Neutral,297,297
"1 National Institute of Technology, Warangal",General PwD,Gender-Neutral,70,70
"1 National Institute of Technology, Warangal",EWS,Female-Only,450,450
"1 National Institute of Technology, Warangal",OBC-NCL,Female-Only,1895,1895
"1 National Institute of Technology, Warangal",General,Gender-Neutral,3916,4284
"1 National Institute of Technology, Warangal",EWS,Gender-Neutral,489,489
"1 National Institute of Technology, Warangal",OBC-NCL,Gender-Neutral,1512,1512
"1 National Institute of Technology, Warangal",SC,Gender-Neutral,816,861
"1 National Institute of Technology, Warangal",OBC-NCL(PwD),Gender-Neutral,133,133
"1 National Institute of Technology, Warangal",General,Female-Only,8224,8224
"1 National Institute of Technology, Warangal",OBC-NCL,Female-Only,3335,3335
"1 National Institute of Technology, Warangal",General,Gender-Neutral,8006,8421
"1 National Institute of Technology, Warangal",EWS,Gender-Neutral,1075,1075
"1 National Institute of Technology, Warangal",OBC-NCL,Gender-Neutral,2789,2846
"1 National Institute of Technology, Warangal",SC,Gender-Neutral,1371,1388
"1 National Institute of Technology, Warangal",ST,Gender-Neutral,689,689
"1 National Institute of Technology, Warangal",General,Female-Only,14786,14786
"1 National Institute of Technology, Warangal",OBC-NCL,Female-Only,7069,7069
"1 National Institute of Technology, Warangal",General,Gender-Neutral,18215,19359
"1 National Institute of Technology, Warangal",EWS,Gender-Neutral,2555,2555
"1 National Institute of Technology, Warangal",OBC-NCL,Gender-Neutral,6577,6763
"1 National Institute of Technology, Warangal",ST,Female-Only,3050,3050
"1 National Institute of Technology, Warangal",General,Gender-Neutral,6089,6364
"1 National Institute of Technology, Warangal",EWS,Gender-Neutral,759,759
"1 National Institute of Technology, Warangal",OBC-NCL,Gender-Neutral,2212,2749
"1 National Institute of Technology, Warangal",SC,Gender-Neutral,1381,1381
"1 National Institute of Technology, Warangal",ST,Gender-Neutral,766,766
"1 National Institute of Technology, Warangal",General PwD,Gender-Neutral,328,328
"1 National Institute of Technology, Warangal",General,Female-Only,9906,9906
"1 National Institute of Technology, Warangal",OBC-NCL,Female-Only,4593,4593
