branch,seatpool,oprank,closerank,category
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2486,3083,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,4337,6205,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,792,798,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,1711,1711,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,6546,8040,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,11238,14041,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,119P,119P,OPEN (PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1238,1612,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,2680,2680,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,403,486,ST
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,468,776,OBC-NCL
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,1505,1766,OBC-NCL
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,34,34,OBC-NCL(PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,136,137,GEN-EWS
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,462,462,GEN-EWS
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1246,1977,OPEN
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,2951,4509,OPEN
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,99,99,OPEN (PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,98,402,SC
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,859,859,SC
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,175,272,ST
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,459,459,ST
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1531,1818,OBC-NCL
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,3250,4111,OBC-NCL
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,50P,50P,OBC-NCL(PwD)
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,400,431,GEN-EWS
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,793,793,GEN-EWS
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2276,4347,OPEN
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,6517,7542,OPEN
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,50P,50P,OPEN (PwD)
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,694,1149,SC
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,1176,1630,SC
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,412,495,ST
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,877,1291,OBC-NCL
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Female-Only,2138,2168,OBC-NCL
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,322,334,GEN-EWS
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1991,3504,OPEN
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Female-Only,5311,5690,OPEN
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,64P,64P,OPEN (PwD)
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,717,877,SC
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Female-Only,1127,1127,SC
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,362,503,ST
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Female-Only,622,622,ST
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1446,2178,OBC-NCL
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,5208,5447,OBC-NCL
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,541,571,GEN-EWS
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4003,5645,OPEN
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,9671,12456,OPEN
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1137,1312,SC
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,2053,2233,SC
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,480,522,ST
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,611P,611P,ST
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3213,3712,OBC-NCL
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,924,924,GEN-EWS
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,7902,8636,OPEN
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Female-Only,14452,14740,OPEN
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2032,2037,SC
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Female-Only,3219,3738,SC
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,805,838,ST
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology
(Dual Degree))",Gender-Neutral,879,1030,OBC-NCL
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology
(Dual Degree))",Female-Only,2329,2329,OBC-NCL
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology
(Dual Degree))",Gender-Neutral,2114,2574,OPEN
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology
(Dual Degree))",Female-Only,5700,5700,OPEN
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology
(Dual Degree))",Gender-Neutral,590,655,SC
"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,3739,3759,OBC-NCL
"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,994,994,GEN-EWS
"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,9245,9374,OPEN
"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Female-Only,15291,15576,OPEN
"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,2058,2058,SC
"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,954,954,ST
"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor
and Master of Technology (Dual Degree))",Gender-Neutral,2123,2215,OBC-NCL
"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor
and Master of Technology (Dual Degree))",Female-Only,4377,4377,OBC-NCL
"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor
and Master of Technology (Dual Degree))",Gender-Neutral,490,490,GEN-EWS
"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor
and Master of Technology (Dual Degree))",Gender-Neutral,4855,5082,OPEN
"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor
and Master of Technology (Dual Degree))",Female-Only,9433,9433,OPEN
"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor
and Master of Technology (Dual Degree))",Gender-Neutral,1348,1445,SC
"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and
Master of Technology (Dual Degree))",Gender-Neutral,3122,3450,OBC-NCL
"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and
Master of Technology (Dual Degree))",Female-Only,6386,6386,OBC-NCL
"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and
Master of Technology (Dual Degree))",Gender-Neutral,965,965,GEN-EWS
"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and
Master of Technology (Dual Degree))",Gender-Neutral,8565,8659,OPEN
"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and
Master of Technology (Dual Degree))",Female-Only,14251,14251,OPEN
"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and
Master of Technology (Dual Degree))",Gender-Neutral,1675,1675,SC
"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and
Master of Technology (Dual Degree))",Gender-Neutral,597,597,ST
"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years,
Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,2407,2442,OBC-NCL
"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years,
Bachelor and Master of Technology (Dual Degree))",Female-Only,6011,6011,OBC-NCL
"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years,
Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,756,756,GEN-EWS
"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years,
Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,5940,6516,OPEN
"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years,
Bachelor and Master of Technology (Dual Degree))",Female-Only,11078,11078,OPEN
"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years,
Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,1463,1463,SC
"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years,
Bachelor and Master of Technology (Dual Degree))",Female-Only,2717,2717,SC
"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years,
Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,698,698,ST
"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years,
Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,2554,2921,OBC-NCL
"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years,
Bachelor and Master of Technology (Dual Degree))",Female-Only,7080,7080,OBC-NCL
"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years,
Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,5621,7160,OPEN
"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years,
Bachelor and Master of Technology (Dual Degree))",Female-Only,12989,12989,OPEN
"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years,
Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,1585,1585,SC
"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years,
Bachelor and Master of Technology (Dual Degree))",Female-Only,3205,3205,SC
"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years,
Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,670,670,ST
"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and
Master of Technology (Dual Degree))",Gender-Neutral,3307,3352,OBC-NCL
"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and
Master of Technology (Dual Degree))",Female-Only,5788,5788,OBC-NCL
"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and
Master of Technology (Dual Degree))",Gender-Neutral,7951,8536,OPEN
"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and
Master of Technology (Dual Degree))",Female-Only,14832,14832,OPEN
"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and
Master of Technology (Dual Degree))",Gender-Neutral,1636,1636,SC
"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and
Master of Technology (Dual Degree))",Gender-Neutral,556,623,ST
"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years,
Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,2841,3005,OBC-NCL
"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years,
Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,838,838,GEN-EWS
"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years,
Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,6036,7337,OPEN
