branch,seatpool,oprank,closerank,category
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,18681,21782,OBC-NCL
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,25734,25734,OBC-NCL
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,5895,5895,GEN-EWS
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,30530,44517,OPEN
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,38824,38824,OPEN
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,1429,1429,OPEN (PwD)
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,3624,7513,SC
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,9428,9428,SC
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,3089,3089,ST
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,8201,9049,OBC-NCL
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,9515,9515,OBC-NCL
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,3641,3641,GEN-EWS
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,20487,23900,OPEN
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,24301,24301,OPEN
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,3180,3194,SC
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,3885,3885,SC
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,518,518,ST
"Ceramic Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,15402,22301,OBC-NCL
"Ceramic Engineering (4 Years, Bachelor of Technology)",Female-Only,26809,26809,OBC-NCL
"Ceramic Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5458,5458,GEN-EWS
"Ceramic Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,33235,40743,OPEN
"Ceramic Engineering (4 Years, Bachelor of Technology)",Female-Only,40936,44521,OPEN
"Ceramic Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2197,2197,OPEN (PwD)
"Ceramic Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,6990,7524,SC
"Ceramic Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4324,4324,ST
"Ceramic Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,9393,9916,OBC-NCL
"Ceramic Engineering (4 Years, Bachelor of Technology)",Female-Only,15121,15121,OBC-NCL
"Ceramic Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,791,791,OBC-NCL(PwD)
"Ceramic Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3714,3714,GEN-EWS
"Ceramic Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,22883,28813,OPEN
"Ceramic Engineering (4 Years, Bachelor of Technology)",Female-Only,34986,35332,OPEN
"Ceramic Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4412,4836,SC
"Ceramic Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2297,2763,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,6705,13212,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,23324,24933,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1370,1370,OBC-NCL(PwD)
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3943,3943,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,22261,27481,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,23745,28716,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5538,5765,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,7509,7509,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1830,2725,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4573,5598,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,7380,8432,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1986,1986,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,11862,15039,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,16534,19008,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3365,3537,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,4314,4314,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,893,998,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,9828,13513,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,17167,17167,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,882,882,OBC-NCL(PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3198,3678,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,12873,25432,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,16563,30422,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,877,877,OPEN (PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2154,5034,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,5722,5722,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1541,1992,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,2117,2117,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3568,4692,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,7892,7892,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1926,1926,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,10847,14262,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,19041,20501,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,514,514,OPEN (PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1875,2585,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,3388,3388,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,578,750,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,1324,1324,ST
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1960,4382,OBC-NCL
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,3991,9199,OBC-NCL
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,319,319,OBC-NCL(PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1356,1551,GEN-EWS
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2253,9420,OPEN
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,6375,10746,OPEN
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,508,508,OPEN (PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,749,749,OPEN (PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,454,2456,SC
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,3315,3315,SC
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,130,130,SC (PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,522,721,ST
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,173,173,ST
