branch,seatpool,oprank,closerank,category
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,349,1327,OBC-NCL
"Aerospace Engineering (4 Years, Bachelor of Technology)",Female-Only,2302,2727,OBC-NCL
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,29,29,OBC-NCL(PwD)
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,175,180,GEN-EWS
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1182,2082,OPEN
"Aerospace Engineering (4 Years, Bachelor of Technology)",Female-Only,2634,4550,OPEN
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,54,54,OPEN (PwD)
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,56,564,SC
"Aerospace Engineering (4 Years, Bachelor of Technology)",Female-Only,527,1025,SC
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3P,3P,SC (PwD)
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,152,285,ST
"Aerospace Engineering (4 Years, Bachelor of Technology)",Female-Only,567,567,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,565,1092,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,1312,2363,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,42,42,OBC-NCL(PwD)
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,146,165,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,705,705,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,7P,7P,GEN-EWS(PwD)
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,440,1687,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,2421,3926,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,84,123,OPEN (PwD)
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,168,604,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,682,1266,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,271,484,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,842,1176,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,663,1203,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,2357,3061,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,35,35,OBC-NCL(PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,220,236,GEN-EWS
