branch,seatpool,oprank,closerank,category
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1049,1717,OBC-NCL
"Aerospace Engineering (4 Years, Bachelor of Technology)",Female-Only,1871,3808,OBC-NCL
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,20P,20P,OBC-NCL(PwD)
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,310,357,GEN-EWS
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1854,3422,OPEN
"Aerospace Engineering (4 Years, Bachelor of Technology)",Female-Only,6437,7516,OPEN
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,131,131,OPEN (PwD)
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,227,1020,SC
"Aerospace Engineering (4 Years, Bachelor of Technology)",Female-Only,1608,1608,SC
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,398,600,ST
"Aerospace Engineering (4 Years, Bachelor of Technology)",Female-Only,598,598,ST
"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Gender-Neutral,2789,3338,OBC-NCL
"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Female-Only,5762,5822,OBC-NCL
"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Gender-Neutral,560,563,GEN-EWS
"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Gender-Neutral,4785,5768,OPEN
"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Female-Only,7233,10598,OPEN
"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Gender-Neutral,1607,2212,SC
"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Female-Only,2874,2874,SC
"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Gender-Neutral,939,977,ST
"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Female-Only,801P,801P,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1244,1550,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,3414,3819,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,288,332,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,1116,1116,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2064,3129,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,4421,6750,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,148P,195P,OPEN (PwD)
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,715,1109,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,1431,1458,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,439,555,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,1160,1160,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1335,1775,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,3565,4431,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,63P,67P,OBC-NCL(PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,401,430,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,1436,1436,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3155,4342,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,6615,8869,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,29P,62P,OPEN (PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,639,1030,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,1121,1922,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,115,245,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,405,452,ST
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,56,133,OBC-NCL
