branch,seatpool,oprank,closerank,category
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,2771,3336,OBC-NCL
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,5688,5688,OBC-NCL
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,648,648,GEN-EWS
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,1780,1780,GEN-EWS
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,6022,6671,OPEN
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,8734,9982,OPEN
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,1716,2038,SC
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,2785,2785,SC
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,772,872,ST
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,721P,721P,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1520,1990,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,3960,4716,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,349,384,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,1186,1186,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3224,4059,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,6513,7988,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,222P,222P,OPEN (PwD)
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,696,1160,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,1378,1566,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,633,705,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,1183,1183,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1367,1985,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,3032,4938,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,78P,78P,OBC-NCL(PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,427,466,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,1311,1311,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,18P,18P,GEN-EWS(PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3429,4827,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,7965,9362,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,112,89P,OPEN (PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,66P,66P,OPEN (PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,382,1048,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,1334,1891,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,189,264,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,301,735,ST
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,135,195,OBC-NCL
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,533,729,OBC-NCL
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5,5,OBC-NCL(PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,30,33,GEN-EWS
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,109.1,109.1,GEN-EWS
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,234,412,OPEN
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,1076,1386,OPEN
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,13,15,OPEN (PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,71,102,SC
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,197,292,SC
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,11P,11P,SC (PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,42,68,ST
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,288,302,ST
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,612,720,OBC-NCL
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,1769,2376,OBC-NCL
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4P,40P,OBC-NCL(PwD)
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,110,134,GEN-EWS
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,601,601,GEN-EWS
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1269,1813,OPEN
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,3503,4274,OPEN
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,45,87,OPEN (PwD)
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,98,98,OPEN (PwD)
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,305,514,SC
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,508,911,SC
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,180,218,ST
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,652,659,ST
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,290,567,OBC-NCL
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Female-Only,1365,1646,OBC-NCL
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,43,43,OBC-NCL(PwD)
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,82,104,GEN-EWS
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Female-Only,284,284,GEN-EWS
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,852,1197,OPEN
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Female-Only,1903,3109,OPEN
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,39,47,OPEN (PwD)
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Female-Only,38,38,OPEN (PwD)
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,140,391,SC
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Female-Only,619,636,SC
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,99,199,ST
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Female-Only,368,368,ST
"Engineering Physics (4 Years, Bachelor of Technology)",Gender-Neutral,1638,2135,OBC-NCL
"Engineering Physics (4 Years, Bachelor of Technology)",Female-Only,5224,5276,OBC-NCL
"Engineering Physics (4 Years, Bachelor of Technology)",Gender-Neutral,450,450,GEN-EWS
"Engineering Physics (4 Years, Bachelor of Technology)",Gender-Neutral,2588,3776,OPEN
"Engineering Physics (4 Years, Bachelor of Technology)",Female-Only,7298,7726,OPEN
"Engineering Physics (4 Years, Bachelor of Technology)",Gender-Neutral,1234,1701,SC
"Engineering Physics (4 Years, Bachelor of Technology)",Female-Only,2306,2306,SC
"Engineering Physics (4 Years, Bachelor of Technology)",Gender-Neutral,703,760,ST
"Engineering Physics (4 Years, Bachelor of Technology)",Female-Only,510P,510P,ST
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,610,1067,OBC-NCL
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,3301,4285,OBC-NCL
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,76P,76P,OBC-NCL(PwD)
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,186,202,GEN-EWS
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,944,944,GEN-EWS
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1677,2622,OPEN
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,4561,6602,OPEN
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,91,101,OPEN (PwD)
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,512,654,SC
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,1519,1674,SC
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,269,329,ST
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,926,1074,ST
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2162,2895,OBC-NCL
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Female-Only,5420,5892,OBC-NCL
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,545,596,GEN-EWS
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Female-Only,1640,1640,GEN-EWS
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4353,5808,OPEN
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Female-Only,10207,11774,OPEN
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1504,1867,SC
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Female-Only,2392,2679,SC
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,818,942,ST
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Female-Only,114P,114P,ST
"Polymer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3353,3614,OBC-NCL
"Polymer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,5134,6988,OBC-NCL
"Polymer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,732,732,GEN-EWS
"Polymer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,6404,7352,OPEN
"Polymer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,10090,11369,OPEN
"Polymer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1894,2213,SC
"Polymer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,3198,3198,SC
"Polymer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1068,1098,ST
"Polymer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,1102P,1102P,ST
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1914,2493,OBC-NCL
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Female-Only,5530,5814,OBC-NCL
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,467,539,GEN-EWS
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3380,4956,OPEN
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Female-Only,8230,8877,OPEN
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1194,1477,SC
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Female-Only,2801,2801,SC
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,673,746,ST
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Female-Only,837P,837P,ST
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,3878,6131,OBC-NCL
"Architecture (5 Years, Bachelor of Architecture)",Female-Only,6538,7163,OBC-NCL
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,2131,2131,GEN-EWS
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,9673,15664,OPEN
"Architecture (5 Years, Bachelor of Architecture)",Female-Only,12795,18028,OPEN
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,44P,44P,OPEN (PwD)
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,2243,2546,SC
"Architecture (5 Years, Bachelor of Architecture)",Female-Only,2912,2912,SC
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,814P,914P,ST
"Geological Technology (5 Years, Integrated Master of Technology)",Gender-Neutral,3303,3959,OBC-NCL
"Geological Technology (5 Years, Integrated Master of Technology)",Female-Only,7505,7505,OBC-NCL
"Geological Technology (5 Years, Integrated Master of Technology)",Gender-Neutral,930,930,GEN-EWS
"Geological Technology (5 Years, Integrated Master of Technology)",Gender-Neutral,7715,8852,OPEN
"Geological Technology (5 Years, Integrated Master of Technology)",Female-Only,14366,16141,OPEN
"Geological Technology (5 Years, Integrated Master of Technology)",Gender-Neutral,1791,2277,SC
"Geological Technology (5 Years, Integrated Master of Technology)",Female-Only,3232,3232,SC
"Geological Technology (5 Years, Integrated Master of Technology)",Gender-Neutral,999,1031,ST
"Geophysical Technology (5 Years, Integrated Master of Technology)",Gender-Neutral,2688,3545,OBC-NCL
"Geophysical Technology (5 Years, Integrated Master of Technology)",Female-Only,6081,6081,OBC-NCL
"Geophysical Technology (5 Years, Integrated Master of Technology)",Gender-Neutral,844,844,GEN-EWS
"Geophysical Technology (5 Years, Integrated Master of Technology)",Gender-Neutral,5207,7395,OPEN
"Geophysical Technology (5 Years, Integrated Master of Technology)",Female-Only,12613,14356,OPEN
"Geophysical Technology (5 Years, Integrated Master of Technology)",Gender-Neutral,1332,1728,SC
"Geophysical Technology (5 Years, Integrated Master of Technology)",Female-Only,3133,3133,SC
"Geophysical Technology (5 Years, Integrated Master of Technology)",Gender-Neutral,1125,1130,ST
"Applied Mathematics (5 Years, Integrated Master of Science)",Gender-Neutral,638,1360,OBC-NCL
"Applied Mathematics (5 Years, Integrated Master of Science)",Female-Only,2806,3954,OBC-NCL
"Applied Mathematics (5 Years, Integrated Master of Science)",Gender-Neutral,270,270,GEN-EWS
"Applied Mathematics (5 Years, Integrated Master of Science)",Gender-Neutral,1551,2285,OPEN
"Applied Mathematics (5 Years, Integrated Master of Science)",Female-Only,4508,4673,OPEN
"Applied Mathematics (5 Years, Integrated Master of Science)",Gender-Neutral,898,1570,SC
"Applied Mathematics (5 Years, Integrated Master of Science)",Female-Only,1985,1985,SC
"Applied Mathematics (5 Years, Integrated Master of Science)",Gender-Neutral,793,797,ST
"Chemistry (5 Years, Integrated Master of Science)",Gender-Neutral,3750,4203,OBC-NCL
"Chemistry (5 Years, Integrated Master of Science)",Female-Only,7240,7240,OBC-NCL
"Chemistry (5 Years, Integrated Master of Science)",Gender-Neutral,961,961,GEN-EWS
"Chemistry (5 Years, Integrated Master of Science)",Gender-Neutral,8452,9563,OPEN
"Chemistry (5 Years, Integrated Master of Science)",Female-Only,15561,15909,OPEN
"Chemistry (5 Years, Integrated Master of Science)",Gender-Neutral,2366,2602,SC
"Chemistry (5 Years, Integrated Master of Science)",Female-Only,3729,3729,SC
"Chemistry (5 Years, Integrated Master of Science)",Gender-Neutral,29P,29P,ST
"Physics (5 Years, Integrated Master of Science)",Gender-Neutral,3375,3629,OBC-NCL
"Physics (5 Years, Integrated Master of Science)",Female-Only,7465,7465,OBC-NCL
"Physics (5 Years, Integrated Master of Science)",Gender-Neutral,717,717,GEN-EWS
"Physics (5 Years, Integrated Master of Science)",Gender-Neutral,5110,6887,OPEN
"Physics (5 Years, Integrated Master of Science)",Female-Only,13122,14425,OPEN
"Physics (5 Years, Integrated Master of Science)",Gender-Neutral,1661,2135,SC
"Physics (5 Years, Integrated Master of Science)",Female-Only,3366,3366,SC
"Physics (5 Years, Integrated Master of Science)",Gender-Neutral,917,917,ST
