branch,seatpool,oprank,closerank,category
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,208106,208106,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,16262,16265,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,25590,25590,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,86747,111010,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,109608,134492,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,11646,31845,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,35558,35558,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3977,4050,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,8819,8819,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,11528,12249,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,14966,16686,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4923,4957,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,6036,6036,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,34694,38598,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,42331,44833,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2759,2759,OPEN (PwD)
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5094,6759,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,8012,8991,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2396,2704,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,5061,5061,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,23169,100680,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,126035,369686,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,11349,13538,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,16297,24899,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,17373,69136,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,36477,92390,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1052,2015,OPEN (PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,7495,14983,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,14880,34193,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,777,1845,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,1314,1314,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,10150,11882,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,17265,17760,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1336,1336,OBC-NCL(PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4885,4943,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,6040,6164,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,30392,38430,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,42233,46598,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1732,2697,OPEN (PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5525,6673,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,8985,8985,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1606,2059,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,3955,3955,ST
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,10787,30381,OBC-NCL
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,19984,19984,OBC-NCL
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5712,8285,GEN-EWS
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,14296,14296,GEN-EWS
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,6359,36702,OPEN
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,33885,38686,OPEN
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,253,253,OPEN (PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4940,5925,SC
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,13788,13788,SC
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2176,2186,ST
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,6470,6470,ST
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5154,7180,OBC-NCL
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,11267,13911,OBC-NCL
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2974,3025,GEN-EWS
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,4379,4379,GEN-EWS
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,12876,22504,OPEN
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,25453,27833,OPEN
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,752,752,OPEN (PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2140,3465,SC
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,5427,5427,SC
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,934,934,ST
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,90037,355890,OBC-NCL
