branch,seatpool,oprank,closerank,category
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4739,7278,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,9135,9200,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,933,933,OBC-NCL(PwD)
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,6101,21443,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,13676,20492,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,14858,22497,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2121,6088,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,5469,5469,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,8681,9015,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,5466,5466,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1980,3943,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,3530,5822,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1270,1296,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,1595,1595,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5160,9854,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,12167,13292,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,362,362,OPEN (PwD)
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,736,1795,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,2687,2687,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,684,893,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,6771,9334,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,11129,12611,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,13336,30596,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,32599,32599,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,9017,27717,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,27405,33871,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1240,1240,OPEN (PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3161,6195,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,6616,7485,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5495,9706,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,10295,10295,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2500,3324,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,6136,7161,OBC-NCL
