branch,seatpool,oprank,closerank,category
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,9111,9157,OBC-NCL
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,3949,3949,GEN-EWS
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,26942,29545,OPEN
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,5000,5000,SC
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,7722,8982,OBC-NCL
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,10686,10810,OBC-NCL
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,1096,1096,OBC-NCL(PwD)
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,3567,3685,GEN-EWS
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,4183,4183,GEN-EWS
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,18037,27770,OPEN
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,24191,24191,OPEN
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,615,615,OPEN (PwD)
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,4833,5716,SC
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,4868,4868,SC
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,1068,1224,ST
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,1014,1014,ST
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,6269,8434,OBC-NCL
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,6982,6982,OBC-NCL
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,3320,3540,GEN-EWS
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,3821,3821,GEN-EWS
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,16663,24706,OPEN
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,19414,22421,OPEN
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,135,135,OPEN (PwD)
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,4441,4807,SC
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,4365,4365,SC
"Bio Technology (4 Years, Bachelor of Technology)",Gender-Neutral,1955,2086,ST
"Bio Technology (4 Years, Bachelor of Technology)",Female-Only,3530,3530,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5779,5829,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,13700,15988,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,18787,18787,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1050,1050,OPEN (PwD)
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3930,3930,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,3177,3177,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1446,1446,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4962,6392,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,7116,8633,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,1057,1057,OBC-NCL(PwD)
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2333,2567,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,2626,2626,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,102,102,GEN-EWS(PwD)
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,8945,17671,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,17611,21273,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1123,1123,OPEN (PwD)
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2506,3641,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,3322,3852,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,795,874,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3896,5296,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,5255,7936,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1648,1931,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,2804,2804,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,7983,13326,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,10653,18004,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,197,197,OPEN (PwD)
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1947,2395,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,1984,2989,SC
