branch,seatpool,oprank,closerank,category
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1793,2674,OBC-NCL
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Female-Only,5214,5690,OBC-NCL
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,473,561,GEN-EWS
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Female-Only,1081,1081,GEN-EWS
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2411,4390,OPEN
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Female-Only,2512,6971,OPEN
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,100P,100P,OPEN (PwD)
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1381,1720,SC
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Female-Only,2359,2587,SC
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,663,741,ST
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Female-Only,529P,529P,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,631,1239,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,2424,2587,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,215,242,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,901,901,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1243,1886,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,2377,3932,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,134,134,OPEN (PwD)
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,303,753,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,602,1065,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,102,333,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,219,219,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,497,1258,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,1243,3108,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,19,19,OBC-NCL(PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,280.1,331,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,1176,1176,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,10P,10P,GEN-EWS(PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1121,3332,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,5115,5831,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,43,60,OPEN (PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,16P,16P,OPEN (PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,50,665,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,858,964,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,20,74,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,215,330,ST
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,17,65,OBC-NCL
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,128,197,OBC-NCL
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3,3,OBC-NCL(PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,7,12,GEN-EWS
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,62,62,GEN-EWS
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2,93,OPEN
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,233,465,OPEN
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2,3,OPEN (PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,22,39,SC
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,109,115,SC
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2P,2P,SC (PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3,19,ST
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,107,107,ST
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1,1,ST (PwD)
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,107,295,OBC-NCL
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,597,1156,OBC-NCL
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,12,12,OBC-NCL(PwD)
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,39,46,GEN-EWS
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,120,120,GEN-EWS
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4,4,GEN-EWS(PwD)
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,297,469,OPEN
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,795,1676,OPEN
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,16,24,OPEN (PwD)
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,83,152,SC
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,215,285,SC
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5P,5P,SC (PwD)
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,9,54,ST
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,32,32,ST
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4P,4P,ST (PwD)
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Gender-Neutral,325,525,OBC-NCL
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Female-Only,1219,1288,OBC-NCL
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Gender-Neutral,2P,2P,OBC-NCL(PwD)
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Gender-Neutral,87,96,GEN-EWS
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Gender-Neutral,566,802,OPEN
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Female-Only,1957,2287,OPEN
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Gender-Neutral,26,26,OPEN (PwD)
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Gender-Neutral,118,348,SC
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Female-Only,454,565,SC
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Gender-Neutral,104,174,ST
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Female-Only,460,460,ST
"Engineering Physics (4 Years, Bachelor of Technology)",Gender-Neutral,1081,1631,OBC-NCL
"Engineering Physics (4 Years, Bachelor of Technology)",Female-Only,1840,3710,OBC-NCL
"Engineering Physics (4 Years, Bachelor of Technology)",Gender-Neutral,204,286,GEN-EWS
"Engineering Physics (4 Years, Bachelor of Technology)",Female-Only,706,706,GEN-EWS
"Engineering Physics (4 Years, Bachelor of Technology)",Gender-Neutral,1018,2587,OPEN
"Engineering Physics (4 Years, Bachelor of Technology)",Female-Only,4276,5946,OPEN
"Engineering Physics (4 Years, Bachelor of Technology)",Gender-Neutral,76P,76P,OPEN (PwD)
"Engineering Physics (4 Years, Bachelor of Technology)",Gender-Neutral,598,1298,SC
"Engineering Physics (4 Years, Bachelor of Technology)",Female-Only,501,1045,SC
"Engineering Physics (4 Years, Bachelor of Technology)",Gender-Neutral,250,482,ST
"Engineering Physics (4 Years, Bachelor of Technology)",Female-Only,1100,1100,ST
"Mathematics and Computing (4 Years, Bachelor of Technology)",Gender-Neutral,95,247,OBC-NCL
"Mathematics and Computing (4 Years, Bachelor of Technology)",Female-Only,469,866,OBC-NCL
"Mathematics and Computing (4 Years, Bachelor of Technology)",Gender-Neutral,36,36,OBC-NCL(PwD)
"Mathematics and Computing (4 Years, Bachelor of Technology)",Gender-Neutral,23,29,GEN-EWS
"Mathematics and Computing (4 Years, Bachelor of Technology)",Female-Only,89,89,GEN-EWS
"Mathematics and Computing (4 Years, Bachelor of Technology)",Gender-Neutral,97,314,OPEN
"Mathematics and Computing (4 Years, Bachelor of Technology)",Female-Only,438,989,OPEN
"Mathematics and Computing (4 Years, Bachelor of Technology)",Gender-Neutral,8,11,OPEN (PwD)
"Mathematics and Computing (4 Years, Bachelor of Technology)",Gender-Neutral,79,207,SC
"Mathematics and Computing (4 Years, Bachelor of Technology)",Female-Only,328,558,SC
"Mathematics and Computing (4 Years, Bachelor of Technology)",Gender-Neutral,82,145,ST
"Mathematics and Computing (4 Years, Bachelor of Technology)",Female-Only,437,437,ST
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,155,606,OBC-NCL
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,2008,2481,OBC-NCL
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,21,21,OBC-NCL(PwD)
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,85,113,GEN-EWS
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,780,780,GEN-EWS
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,498,1221,OPEN
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,2875,4125,OPEN
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,32,32,OPEN (PwD)
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,56P,56P,OPEN (PwD)
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,57,310,SC
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,506,785,SC
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,8,108,ST
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,856,1008,ST
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1185,1667,OBC-NCL
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Female-Only,3266,4530,OBC-NCL
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,267.1,333,GEN-EWS
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Female-Only,1346,1346,GEN-EWS
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1940,3224,OPEN
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Female-Only,4811,7047,OPEN
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,87P,87P,OPEN (PwD)
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,679,1364,SC
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Female-Only,1692,2176,SC
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,415,660,ST
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Female-Only,670P,670P,ST
"Textile Technology (4 Years, Bachelor of Technology)",Gender-Neutral,2093,3239,OBC-NCL
"Textile Technology (4 Years, Bachelor of Technology)",Female-Only,4914,6188,OBC-NCL
"Textile Technology (4 Years, Bachelor of Technology)",Gender-Neutral,578,662,GEN-EWS
"Textile Technology (4 Years, Bachelor of Technology)",Female-Only,1727,1727,GEN-EWS
"Textile Technology (4 Years, Bachelor of Technology)",Gender-Neutral,3937,6177,OPEN
"Textile Technology (4 Years, Bachelor of Technology)",Female-Only,7440,9677,OPEN
"Textile Technology (4 Years, Bachelor of Technology)",Gender-Neutral,1407,2125,SC
"Textile Technology (4 Years, Bachelor of Technology)",Female-Only,2450,2605,SC
"Textile Technology (4 Years, Bachelor of Technology)",Gender-Neutral,361,1020,ST
"Textile Technology (4 Years, Bachelor of Technology)",Female-Only,699,579P,ST
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,1370,1896,OBC-NCL
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,3829,4174,OBC-NCL
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,315,419,GEN-EWS
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,1483,1483,GEN-EWS
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,2045,3111,OPEN
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,4216,4797,OPEN
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,774,1060,SC
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,2364,2364,SC
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,414,539,ST
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,948,948,ST
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology
(Dual Degree))",Gender-Neutral,75,147,OBC-NCL
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology
(Dual Degree))",Female-Only,245,324,OBC-NCL
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology
(Dual Degree))",Gender-Neutral,11,11,OBC-NCL(PwD)
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology
(Dual Degree))",Gender-Neutral,32,34,GEN-EWS
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology
(Dual Degree))",Gender-Neutral,120,192,OPEN
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology
(Dual Degree))",Female-Only,519,864,OPEN
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology
(Dual Degree))",Gender-Neutral,7,7,OPEN (PwD)
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology
(Dual Degree))",Gender-Neutral,37,80,SC
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology
(Dual Degree))",Female-Only,124,124,SC
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology
(Dual Degree))",Gender-Neutral,34,69,ST
