branch,seatpool,oprank,closerank,category
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1328,1651,OBC-NCL
"Aerospace Engineering (4 Years, Bachelor of Technology)",Female-Only,3360,3670,OBC-NCL
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,29P,29P,OBC-NCL(PwD)
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,371,371,GEN-EWS
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2418,3612,OPEN
"Aerospace Engineering (4 Years, Bachelor of Technology)",Female-Only,5752,7615,OPEN
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,7P,7P,OPEN (PwD)
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,621,1079,SC
"Aerospace Engineering (4 Years, Bachelor of Technology)",Female-Only,1387,1387,SC
"Aerospace Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,383,590,ST
"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2683,3442,OBC-NCL
"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",Female-Only,6080,6658,OBC-NCL
"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,694,694,GEN-EWS
"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5247,7178,OPEN
"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",Female-Only,9222,11534,OPEN
"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,966,2110,SC
"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",Female-Only,2909,2909,SC
"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,608,928,ST
"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",Female-Only,671P,671P,ST
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2620,3087,OBC-NCL
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Female-Only,4124,4124,OBC-NCL
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,615,615,GEN-EWS
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4511,5904,OPEN
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Female-Only,9424,9903,OPEN
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1510,1819,SC
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Female-Only,1828,1828,SC
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,595,871,ST
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Female-Only,516P,516P,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1151,1727,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,2730,3714,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,301,314,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,960,960,GEN-EWS
