branch,seatpool,oprank,closerank,category
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4945,7724,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,6479,10783,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2815,3385,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,4068,4068,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,14627,20265,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,19169,26989,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1576,1576,OPEN (PwD)
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3071,4000,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,4709,4709,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1615,2845,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5887,7563,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,11219,11234,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2603,2838,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,3522,3522,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,13095,20711,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,21804,24869,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,855,855,OPEN (PwD)
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4177,4652,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,6296,6593,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1475,1775,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,2190,2222,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5282,6989,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,9548,9665,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2783,3493,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,5749,5749,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,12987,22427,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,21018,28695,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,890,890,OPEN (PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1317,3916,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,2570,2570,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2045,2257,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,1837,1837,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,29,29,ST (PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4937,6063,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,9115,10417,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2441,2621,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,3498,3498,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,15192,19331,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,17826,21141,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,1130,1130,OPEN (PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2392,3267,SC
